SKU,Brand,Description,Buy Date,DRS Cost
S002542513,*Other Brand - Grade 3 (A-),WB Shorts/allie rose,2026-03-24,2.4
S002542603,Pac Sun,WB Shorts,2026-03-25,2.4
S002542786,*Other Brand - Grade 1 (B),WB Shorts / tgla,2026-03-26,1.33
S002543074,Paige,WB Shorts,2026-03-27,2.4
S002543105,*Other Brand - Grade 1 (B),WB Sleep Bottoms 2 pc,2026-03-27,1.33
S002543107,*Other Brand - Grade 1 (B),WB Sleep Bottoms 2 pc,2026-03-27,1.33
S002543290,Joyspun,W Sleep Shorts,2026-03-28,1.87
S002544498,*Other Brand - Grade 3 (A-),WB ShortsSTRIPE,2026-03-31,2.4
S002545677,Universal Thread,WB Shorts,2026-04-06,1.8
S002545813,*Other Brand - Grade 3 (A-),WB Shorts/pink,2026-04-06,3
S002546082,*Other Brand - Grade 3 (A-),WB Shorts,2026-04-07,2.4
S002546897,aerie,WB Shorts  / 2 pc,2026-04-11,1.8
S002547018,Joyspun,WB Shorts/2pc,2026-04-11,1.33
S002547365,*Other Brand - Grade 3 (A-),WB Sleep Shorts,2026-04-13,2.4
S002547577,Brandy Melville,WB Shorts/2pc,2026-04-14,3
S002547579,Brandy Melville,WB Shorts/2pc,2026-04-14,3
